word,category
Addict,negative
Humiliate,negative
Hostile,negative
Scum,negative
Misery,negative
Hate,negative
Assault,negative
Depressed,negative
Brutal,negative
Suicide,negative
Troubled,negative
Violent,negative
Despise,negative
Trauma,negative
Upset,negative
Slum,negative
Anger,negative
Pain,negative
Punishment,negative
Thief,negative
Abuse,negative
Victim,negative
Alone,negative
Prison,negative
Jail,negative
Agony,negative
Rejected,negative
Rape,negative
Cruel,negative
Uncaring,negative
Emptiness,negative
Abandon,negative
